satellite, Count: 887, Level 1
earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > atmospheric carbon monoxide, Count: 1, Level 5

earth science > atmosphere > atmospheric water vapor > water vapor indicators > stable isotopes, Count: 1, Level 5

earth science > atmosphere > precipitation > liquid water equivalent, Count: 1, Level 4

earth science > atmosphere > atmospheric radiation > optical depth/thickness, Count: 1, Level 4

earth science > atmosphere > clouds > cloud microphysics > cloud condensation nuclei, Count: 2, Level 5

earth science > atmosphere > aerosols > cloud condensation nuclei, Count: 3, Level 4

earth science > oceans > sea ice > ice temperature, Count: 3, Level 4

earth science > climate indicators > land surface/agriculture indicators > soil moisture, Count: 1, Level 4

earth science > terrestrial hydrosphere > ground water > ground water features > water table > water table depth, Count: 1, Level 6

earth science > oceans > sea ice > salinity, Count: 1, Level 4

earth science > oceans > sea ice > ice growth/melt, Count: 1, Level 4

earth science > atmosphere > aerosols > aerosol extinction, Count: 1, Level 4

earth science > atmosphere > atmospheric pressure > pressure tendency, Count: 1, Level 4

earth science > atmosphere > atmospheric chemistry > oxygen compounds > atmospheric ozone, Count: 1, Level 5

earth science > land surface > topography > terrain elevation > digital elevation/terrain model (dem), Count: 1, Level 5

earth science > land surface > land use/land cover > land use/land cover classification, Count: 1, Level 4

earth science > oceans > ocean waves > swells, Count: 1, Level 4

earth science > oceans > ocean waves > wave height, Count: 1, Level 4

earth science > oceans > ocean waves > wave period, Count: 1, Level 4

earth science > oceans > ocean waves > wave speed/direction, Count: 1, Level 4

earth science > atmosphere > atmospheric pressure > differential pressure, Count: 1, Level 4

earth science > atmosphere > weather events > tropical cyclones > accumulated cyclone energy > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > human dimensions > natural hazards > tropical cyclones > hurricanes, Count: 1, Level 5

earth science > atmosphere > weather events > tropical cyclones > tropical cyclone radius > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > weather events > tropical cyclones > tropical cyclone track > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > weather events > tropical cyclones > maximum wind gust > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > weather events > tropical cyclones > peak intensity > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > weather events > tropical cyclones > minimum central pressure > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > weather events > tropical cyclones > landfall intensity > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > weather events > tropical cyclones > tropical cyclone motion > hurricanes (n. atlantic/e. pacific), Count: 1, Level 6

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > hydrochlorofluorocarbons, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > hydrogen compounds > molecular hydrogen, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > nitrogen compounds > nitrous oxide, Count: 2, Level 5

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > chlorofluorocarbons, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > methyl bromide, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > halons, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > hydrofluorocarbons, Count: 1, Level 5

earth science > climate indicators > land surface/agriculture indicators > vegetation cover, Count: 1, Level 4

dropsonde products, Count: 1, Level 1

